Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-May-2020,505.20,509.20,490.10,507.25,503.296503113665913912,73065,2788,36773359.00,15019,20.56,19.10,2.05
5-May-2020,506.00,513.35,498.40,499.75,505.506748188405797101,110400,5821,55807945.00,46675,42.28,14.95,-6.25
4-May-2020,516.80,517.65,498.10,502.45,505.254040920967008819,305809,14433,154511233.00,116391,38.06,19.55,-14.35
30-April-2020,537.20,552.40,532.35,546.10,543.275831394232795067,213587,7126,116036655.00,44490,20.83,20.05,8.90
29-April-2020,528.70,536.90,522.35,528.85,530.052236675126903553,126080,4865,66828986.00,37679,29.88,14.55,0.15
28-April-2020,519.85,528.15,517.20,520.40,523.041954839728406758,126660,5565,66248494.00,41582,32.83,10.95,0.55
27-April-2020,510.00,519.00,506.40,511.80,513.264045616450657008,66818,2321,34295277.00,15992,23.93,12.60,1.80
24-April-2020,527.00,532.80,502.00,503.55,514.855304069359713525,161131,6947,82959150.00,58427,36.26,30.80,-23.45
23-April-2020,523.95,527.50,509.20,523.40,517.685388543050989718,157267,6201,81414828.00,30195,19.20,18.30,-0.55
22-April-2020,515.00,521.80,507.85,518.60,517.486680535823016034,39416,1800,20397255.00,11433,29.01,13.95,3.60
21-April-2020,519.00,520.00,506.20,512.80,513.321206589982848420,63551,3304,32622076.00,23434,36.87,13.80,-6.20
20-April-2020,519.80,531.95,512.45,524.80,523.472227897350258045,112577,4531,58930933.00,30363,26.97,19.50,5.00
17-April-2020,533.10,533.10,500.15,509.60,507.734427118008972870,298901,13139,151762328.00,112586,37.67,32.95,-23.50
16-April-2020,528.00,529.60,508.80,517.90,515.872529306438434749,172573,7367,89025670.00,60653,35.15,20.80,-10.10
15-April-2020,527.50,548.50,527.50,538.05,537.377953544527079870,1827169,3692,981880338.00,1752337,95.90,21.00,10.55
13-April-2020,555.00,555.00,522.00,527.15,528.303077791621242797,102736,4253,54275745.00,29972,29.17,33.00,-27.85
9-April-2020,566.40,582.30,537.60,545.15,550.504586968235671266,146611,6032,80710028.00,39478,26.93,44.70,-21.25
8-April-2020,535.00,569.25,535.00,559.55,560.122376094886524977,91562,4306,51285925.00,17285,18.88,34.25,24.55
7-April-2020,535.00,556.60,535.00,546.50,545.359990698461018095,94608,3961,51595418.00,19348,20.45,21.60,11.50
3-April-2020,512.90,532.50,510.20,520.65,520.862176339862525195,154792,9886,80625298.00,47136,30.45,22.30,7.75
1-April-2020,562.00,562.00,510.00,511.20,533.738474367140215327,324993,5283,173461268.00,42093,12.95,52.00,-50.80
31-March-2020,548.00,575.00,528.00,564.95,547.261854340100287230,82164,4852,44965223.00,19848,24.16,47.00,16.95
30-March-2020,500.00,532.15,486.80,528.50,522.003925164026014955,69806,3235,36439006.00,18504,26.51,45.35,28.50
27-March-2020,542.00,542.00,499.25,503.60,516.667754240109581743,105127,3722,54315731.00,44957,42.76,42.75,-38.40
26-March-2020,539.00,564.00,513.60,515.75,530.969235225955967555,86300,3031,45822645.00,36149,41.89,50.40,-23.25
25-March-2020,508.90,542.70,508.00,529.50,524.260065288356909684,45031,2505,23607955.00,10193,22.64,34.70,20.60
24-March-2020,495.00,539.60,490.05,504.00,509.366372907501571159,140024,7872,71323517.00,58997,42.13,49.55,9.00
23-March-2020,560.00,560.00,470.25,490.55,514.969235891795901482,99109,5224,51038086.00,35903,36.23,89.75,-69.45
20-March-2020,535.00,583.90,528.00,576.45,568.587508053229067158,180052,11307,102375318.00,43884,24.37,55.90,41.45
19-March-2020,560.00,577.45,523.25,530.45,548.816098189462263511,132723,7168,72840519.00,33109,24.95,54.20,-29.55
18-March-2020,600.00,612.00,571.00,579.30,590.801500169772299334,97189,5678,57419407.00,49710,51.15,41.00,-20.70
17-March-2020,595.00,617.40,584.00,595.40,605.400937849542547394,69734,3500,42217029.00,17871,25.63,33.40,0.40
16-March-2020,648.90,648.90,591.05,604.20,610.402428231305236652,80223,4074,48968314.00,21058,26.25,57.85,-44.70
13-March-2020,640.00,669.80,550.00,655.40,625.046459532716561008,133923,6347,83708097.00,26004,19.42,119.80,15.40
12-March-2020,685.10,686.35,637.90,649.80,658.601331312736279494,122736,8002,80834093.00,46345,37.76,48.45,-35.30
11-March-2020,700.00,713.80,665.70,708.75,698.123184642958843531,59699,5611,41677256.00,17030,28.53,48.10,8.75
9-March-2020,741.00,741.00,696.80,703.75,707.962452085027297014,68872,3444,48758790.00,25977,37.72,44.20,-37.25
6-March-2020,749.60,749.60,732.65,740.85,740.997333442041931144,417017,1354,309008485.00,396050,94.97,16.95,-8.75
5-March-2020,763.25,784.00,750.55,753.45,768.923957972940983666,54917,1543,42226997.00,18145,33.04,33.45,-9.80
4-March-2020,754.00,774.10,748.50,771.00,762.002409510479598887,56443,1650,43009702.00,12856,22.78,25.60,17.00
3-March-2020,745.00,757.25,742.90,752.55,749.305985104537433075,33433,1099,25051547.00,8176,24.45,14.35,7.55
2-March-2020,744.50,754.00,734.75,744.20,746.056740822262400754,63605,3031,47452939.00,19315,30.37,19.25,-0.30
28-February-2020,801.55,801.55,733.05,743.90,752.759995679666941596,101844,4345,76664089.00,27967,27.46,68.50,-57.65
27-February-2020,811.80,817.00,800.80,809.80,807.356968994494349463,34510,2662,27861889.00,11526,33.40,16.20,-2.00
26-February-2020,823.45,825.95,808.25,811.20,816.717751695257122000,52057,2505,42515876.00,15085,28.98,17.70,-12.25
25-February-2020,822.00,825.00,809.60,823.80,817.066224639695080795,50374,2400,41158894.00,19570,38.85,15.40,1.80
24-February-2020,835.00,843.40,816.00,820.15,832.294076052796983029,38184,1869,31780317.00,10631,27.84,27.40,-14.85
20-February-2020,841.00,845.70,828.00,829.55,836.463249871503047213,40857,2398,34175379.00,17513,42.86,17.70,-11.45
19-February-2020,839.00,844.00,836.05,840.95,840.401370585134422772,18970,937,15942414.00,6225,32.81,7.95,1.95
18-February-2020,827.45,840.00,827.45,838.55,835.835168835896969145,32961,1316,27549963.00,12600,38.23,12.55,11.10
17-February-2020,834.00,836.75,827.45,833.10,832.082549324641331456,40497,1322,33696847.00,20406,50.39,9.30,-0.90
14-February-2020,827.65,837.70,826.65,833.95,834.038912726843286226,50806,1870,42374181.00,22136,43.57,11.05,6.30
13-February-2020,824.00,830.30,814.55,828.00,824.020278271166370633,33780,1976,27835405.00,16011,47.40,15.75,4.00
12-February-2020,823.00,826.75,817.35,821.35,823.089346009616132696,64267,2798,52897483.00,15657,24.36,9.40,-1.65
11-February-2020,813.00,821.15,811.35,819.80,816.925374797971353731,17943,813,14658092.00,7060,39.35,9.80,6.80
10-February-2020,825.00,825.60,811.60,813.40,816.723252220934723831,20712,1012,16915972.00,8100,39.11,14.00,-11.60
7-February-2020,818.20,825.00,815.00,824.10,820.056958987783595113,45840,1894,37591411.00,20488,44.69,10.00,5.90
6-February-2020,812.50,825.50,811.35,817.60,819.099664706739880460,41158,1350,33712504.00,13711,33.31,14.15,5.10
5-February-2020,812.00,816.00,807.10,814.05,811.776116596144804889,31905,1534,25899717.00,10544,33.05,8.90,2.05
4-February-2020,792.35,812.80,792.35,811.10,809.113714798453892876,115904,2722,93779516.00,16491,14.23,20.45,18.75
3-February-2020,807.50,818.05,789.80,792.35,805.762297014325137635,72111,3663,58104325.00,15158,21.02,28.25,-15.15
1-February-2020,795.20,812.00,766.95,807.50,795.700917855256207078,151440,4784,120500947.00,40809,26.95,45.05,12.30
31-January-2020,799.05,801.75,783.00,795.40,792.434391421046662550,79357,3547,62885216.00,21359,26.92,18.75,-3.65
30-January-2020,807.00,808.00,784.45,791.35,794.556225456225456225,43290,2474,34396339.00,14670,33.89,23.55,-15.65
29-January-2020,799.00,807.15,793.80,804.15,803.295739299610894941,51400,3513,41289401.00,15804,30.75,13.35,5.15
28-January-2020,791.30,796.00,785.00,794.15,791.570866013603671038,30727,1644,24322598.00,12368,40.25,11.00,2.85
27-January-2020,785.00,796.00,780.00,791.30,789.565983725193785983,31091,2099,24548396.00,11918,38.33,16.00,6.30
24-January-2020,767.00,788.85,763.75,787.35,777.934896249002394253,50120,3542,38990097.00,16718,33.36,25.10,20.35
23-January-2020,778.10,779.90,767.00,768.85,770.843101174594412242,32607,1772,25134881.00,11455,35.13,12.90,-9.25
22-January-2020,783.00,790.00,776.80,778.10,782.283229242499712632,26099,1314,20416810.00,6976,26.73,13.20,-4.90
21-January-2020,779.00,783.20,775.40,778.85,779.510180055401662049,14440,845,11256127.00,3753,25.99,7.80,-0.15
20-January-2020,784.85,785.10,774.40,778.35,779.901102116453720862,20506,2792,15992652.00,8281,40.38,10.70,-6.50
17-January-2020,782.85,786.75,775.60,778.30,780.164957695971311705,17847,1938,13923604.00,8916,49.96,11.15,-4.55
16-January-2020,790.55,795.65,781.60,782.85,784.083753660294050009,65227,2588,51143431.00,19764,30.30,14.05,-7.70
15-January-2020,797.00,803.00,789.00,794.80,795.698644333650775866,35702,1470,28408033.00,9717,27.22,14.00,-2.20
14-January-2020,789.90,797.65,783.80,796.20,791.676170689702304475,36581,2462,28960306.00,14066,38.45,13.85,6.30
13-January-2020,778.80,788.20,775.20,785.85,784.584881100404103201,51472,1283,40384153.00,24193,47.00,13.00,7.05
10-January-2020,778.00,781.80,772.45,776.30,776.914494264859228362,16303,1373,12666037.00,7338,45.01,9.35,-1.70
9-January-2020,771.45,776.55,762.45,773.15,770.427196120327467409,41653,2348,32090604.00,15038,36.10,14.10,1.70
8-January-2020,776.90,784.90,767.50,769.70,778.048617998361433314,46382,2034,36087451.00,7839,16.90,17.40,-7.20
7-January-2020,770.05,778.65,760.65,777.50,772.165851429800043001,37208,1316,28730747.00,10008,26.90,18.00,7.45
6-January-2020,775.00,779.10,767.75,770.05,774.657190236136906341,150760,2396,116787318.00,128810,85.44,11.35,-4.95
3-January-2020,765.50,779.75,764.05,775.05,774.862972039327999055,33869,1552,26243834.00,9509,28.08,15.70,9.55
2-January-2020,762.10,769.10,761.85,766.00,766.192925049745743975,22615,832,17327453.00,5632,24.90,7.25,3.90
1-January-2020,764.50,766.40,760.70,761.95,763.262467191601049868,13716,590,10468908.00,3640,26.54,5.70,-2.55
